Band,Comment
_0,Completely unacceptable
_0,Worst purchase I have ever made
_0,Product is totally unusable
_0,Absolute waste of money
_0,Deeply disappointed and angry
_1-3,Very poor quality
_1-3,Damaged on arrival
_1-3,Wrong item sent
_1-3,Not as described
_1-3,Arrived far too late
_4-6,Average quality
_4-6,Acceptable for price
_4-6,Packaging was okay
_4-6,Works but has issues
_4-6,As described
_7-8,Good value
_7-8,Works as expected
_7-8,Satisfied overall
_7-8,Delivery was smooth
_7-8,Decent quality
_9-10,Excellent quality
_9-10,Highly recommended
_9-10,Fast delivery
_9-10,Perfect for office use
_9-10,Great product
