ProductName,Category,SupplierName,UnitPriceGBP
Sticky Notes Basic,Paper,PaperWorks,2.24
Sticky Notes Pro,Paper,PaperWorks,2.99
A4 Paper Ream Eco,Paper,PaperWorks,6.99
Envelope Pack,Paper,PaperWorks,2.10
Ballpoint Pen Blue,Pens,BiroCo,1.60
Ballpoint Pen Black,Pens,BiroCo,1.65
Gel Pen Premium,Pens,BiroCo,2.80
Desk Organiser Basic,Desk,DeskMate,8.99
Desk Organiser Premium,Desk,DeskMate,12.99
Monitor Stand,Desk,DeskMate,24.50
Notebook Classic,Notebooks,NoteLab,4.20
Notebook Premium,Notebooks,NoteLab,7.19
Ring Binder Basic,Binders,BindRight,3.25
Ring Binder Heavy,Binders,BindRight,5.90
File Folder Basic,Folders,FileCo,1.05
File Folder Pro,Folders,FileCo,1.95
Stapler Heavy Duty,Desk,DeskMate,10.50
Paper Clips 100,Office,OfficeSup,1.30
Calculator Standard,Office,OfficeSup,9.80
Whiteboard Marker Set,Office,OfficeSup,6.40
